mode,fct_ms
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0088
Flowlet,0.0064
Flowlet,0.0076
Flowlet,0.0088
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0244
Flowlet,0.0076
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0076
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0076
Flowlet,0.0328
Flowlet,0.0088
Flowlet,0.0064
Flowlet,0.0088
Flowlet,0.0076
Flowlet,0.0064
Flowlet,0.0076
Flowlet,0.0112
Flowlet,0.0076
Flowlet,0.0076
Flowlet,0.0112
Flowlet,0.0148
Flowlet,0.0064
Flowlet,0.016
Flowlet,0.0076
Flowlet,0.0196
Flowlet,0.034
Flowlet,0.0112
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0076
Flowlet,0.0064
Flowlet,0.0088
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.169646
Flowlet,0.0076
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0112
Flowlet,0.0064
Flowlet,0.0112
Flowlet,0.0076
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.016
Flowlet,0.0064
Flowlet,0.0112
Flowlet,0.0064
Flowlet,0.0076
Flowlet,0.0268
Flowlet,0.0076
Flowlet,0.0112
Flowlet,0.0076
Flowlet,0.0076
Flowlet,0.0064
Flowlet,0.0088
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0076
Flowlet,0.0088
Flowlet,0.0076
Flowlet,0.01
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0076
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0076
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.01
Flowlet,0.0088
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0064
Flowlet,0.0244
Flowlet,0.0472
Flowlet,0.0064
Flowlet,0.0088
Flowlet,0.0088
Flowlet,0.0064
Flowlet,0.0148
Flowlet,0.0076
